winner,turns,win_rate
AI,71,1.0
AI,34,1.0
Human,44,0.6666666666666666
Human,17,0.5
AI,23,0.6
AI,40,0.6666666666666666
Human,18,0.5714285714285714
AI,44,0.625
Human,12,0.5555555555555556
AI,12,0.6
AI,31,0.6363636363636364
AI,28,0.6666666666666666
Human,58,0.6153846153846154
AI,42,0.6428571428571429
AI,23,0.6666666666666666
Human,25,0.625
Human,32,0.5882352941176471
AI,20,0.6111111111111112
AI,21,0.631578947368421
Human,95,0.6
Human,50,0.5714285714285714
Human,31,0.5454545454545454
Human,18,0.5217391304347826
Human,15,0.5
AI,31,0.52
AI,36,0.5384615384615384
AI,31,0.5555555555555556
AI,74,0.5714285714285714
AI,41,0.5862068965517241
AI,48,0.6
Human,32,0.5806451612903226
Human,49,0.5625
Human,24,0.5454545454545454
AI,28,0.5588235294117647
AI,17,0.5714285714285714
Human,15,0.5555555555555556
AI,41,0.5675675675675675
Human,31,0.5526315789473685
AI,43,0.5641025641025641
AI,30,0.575
AI,19,0.5853658536585366
AI,36,0.5952380952380952
AI,35,0.6046511627906976
Human,29,0.5909090909090909
AI,97,0.6
AI,18,0.6086956521739131
Human,16,0.5957446808510638
AI,104,0.6041666666666666
AI,11,0.6122448979591837
AI,70,0.62
